id,lyric,line
14,"You got to come on, come on, oh",41
14,"Come on, come on",42
14,"Come on, come on, oh, oh, oh",43
14,It's like a million little stars spelling out your name,44
14,"They're spelling out your name, oh",45
15,Once upon a time,1
15,I believe it was a Tuesday when I caught your eye,2
15,And we caught onto something,3
15,I hold on to the night,4
15,You looked me in the eye and told me you loved me,5
15,Were you just kidding?,6
15,'Cause it seems to me,7
15,"This thing is breaking down, we almost never speak",8
15,I don't feel welcome anymore,9
15,"What happened? Please, tell me",10
15,'Cause one second it was perfect,11
15,Now you're halfway out the door,12
15,"And I stare at the phone, he still hasn't called",13
15,And then you feel so low you can't feel nothing at all,14
15,"And you flashback to when he said, ""Forever and always""",15
15,And it rains in your bedroom,16
15,Everything is wrong,17
15,It rains when you're here and it rains when you're gone,18
15,"I was there when you said, ""Forever and always""",19
15,Was I out of line?,20
15,"Did I say something way too honest, made you run and hide",21
15,Like a scared little boy?,22
15,I looked into your eyes,23
15,"Thought I knew you for a minute, now I'm not so sure",24
15,So here's to everything coming down to nothing,25
15,Here's to silence that cuts me to the core,26
15,Where is this going?,27
15,"Thought I knew for a minute, but I don't anymore",28
15,"And I stare at the phone, he still hasn't called",29
15,And then you feel so low you can't feel nothing at all,30
15,"You flashback to when he said, ""Forever and always""",31
15,"Oh, and it rains in your bedroom",32
15,Everything is wrong,33
15,It rains when you're here and it rains when you're gone,34
15,"I was there when you said, ""Forever and always""",35
15,"You didn't mean it baby, I don't think so",36
15,"Oh, oh-oh, oh-oh-oh",37
15,"Oh-oh, oh-oh-oh",38
15,"Back up, baby, back up",39
15,Did you forget everythi-i-ing?,40
15,"Back up, baby, back up",41
15,Did you forget everythi-i-ing?,42
15,"Back up, baby, back up",43
15,"Please, back up, oh, back up",44
15,"Back up, baby, back up",45
15,'Cause it rains in your bedroom,46
15,Everything is wrong,47
15,It rains when you're here and it rains when you're gone,48
15,"I was there when you said, ""Forever and always""",49
15,"And I stare at the phone, he still hasn't called",50
15,And then you feel so low you can't feel nothing at all,51
15,You flashback to when we said forever and always,52
15,And it rains in your bedroom,53
15,Everything is wrong,54
15,It rains when you're here and it rains when you're gone,55
15,"I was there when you said, ""Forever and always""",56
15,You didn't mean it baby,57
15,"You said, ""Forever and always,"" yeah",58
16,I could go back to every laugh,1
16,But I don't wanna go there anymore,2
16,And I know all the steps up to your door,3
16,But I don't wanna go there anymore,4
16,"Talk to the wind, talk to the sky",5
16,Talk to the man with the reasons why,6
16,And let me know what you find,7
16,I'll leave my window open,8
16,'Cause I'm too tired at night to call your name,9
16,Just know I'm right here hoping,10
16,That you'll come in with the rain,11
16,I could stand up and sing you a song,12
16,But I don't wanna have to go that far,13
16,"And I, I've got you down, I know you by heart",14
16,And you don't even know where I start,15
16,"Talk to yourself, talk to the tears",16
16,Talk to the man who put you here,17
16,And don't wait for the sky to clear,18
16,I'll leave my window open,19
16,"'Cause I'm too tired at night to call your name, oh",20
16,Just know I'm right here hoping,21
16,That you'll come in with the rain,22
16,"I've watched you so long, screamed your name",23
